,silhouette_score,calinski_harabasz_score,davies_bouldin_score,adjusted_rand_score,normalized_mutual_info,cluster_purity
base_vae,0.15687043964862823,25.338760257855764,1.4121296914676658,0.004670169293636894,0.21604727750469527,0.26
beta_vae,0.10231535136699677,11.737732101383513,1.5975839170494008,0.009036422314430614,0.20740227848478174,0.25
raw_features,0.012063096114053427,2.101373672425709,3.17591990054715,0.03742084052964882,0.2581562829266367,0.31
